batting_team,bowling_team,overs,current_score,wickets,runs_last5,wickets_last5,final_score
Royal Challengers Bangalore,Kolkata Knight Riders,10,70,0,27,0,143
Royal Challengers Bangalore,Sunrisers Hyderabad,16,94,1,44,0,116
Gujarat Titans,Punjab Kings,15,104,2,74,2,146
Sunrisers Hyderabad,Lucknow Super Giants,13,106,0,65,0,178
Kolkata Knight Riders,Sunrisers Hyderabad,19,169,1,44,1,187
Kolkata Knight Riders,Delhi Capitals,10,72,0,38,0,143
Kolkata Knight Riders,Mumbai Indians,14,136,2,34,2,179
Gujarat Titans,Sunrisers Hyderabad,16,116,1,48,0,144
Kolkata Knight Riders,Sunrisers Hyderabad,17,142,4,46,0,147
Chennai Super Kings,Delhi Capitals,17,141,3,37,0,168
Delhi Capitals,Royal Challengers Bangalore,11,89,3,48,1,156
Delhi Capitals,Gujarat Titans,6,55,0,30,0,177
Gujarat Titans,Kolkata Knight Riders,10,58,0,52,0,122
Kolkata Knight Riders,Royal Challengers Bangalore,13,100,3,24,2,126
Delhi Capitals,Rajasthan Royals,8,63,0,56,0,154
Delhi Capitals,Kolkata Knight Riders,18,143,5,66,1,149
Lucknow Super Giants,Chennai Super Kings,15,116,4,64,2,157
Lucknow Super Giants,Rajasthan Royals,9,64,1,63,1,127
Lucknow Super Giants,Rajasthan Royals,5,34,0,37,0,105
Gujarat Titans,Sunrisers Hyderabad,16,175,4,56,0,205
Rajasthan Royals,Delhi Capitals,15,117,0,41,0,149
Punjab Kings,Chennai Super Kings,19,143,0,67,0,148
Chennai Super Kings,Delhi Capitals,13,111,1,75,0,165
Gujarat Titans,Mumbai Indians,8,85,0,66,0,232
Kolkata Knight Riders,Gujarat Titans,15,123,2,54,0,145
Gujarat Titans,Royal Challengers Bangalore,12,115,0,43,0,171
Mumbai Indians,Chennai Super Kings,17,116,1,26,1,133
Mumbai Indians,Punjab Kings,9,71,0,36,0,185
Punjab Kings,Gujarat Titans,14,105,3,25,0,132
Chennai Super Kings,Rajasthan Royals,6,38,0,41,0,163
Royal Challengers Bangalore,Chennai Super Kings,15,118,5,45,0,135
Gujarat Titans,Punjab Kings,12,95,0,53,0,165
Lucknow Super Giants,Gujarat Titans,14,123,0,67,0,170
Mumbai Indians,Sunrisers Hyderabad,17,157,3,59,0,162
Kolkata Knight Riders,Gujarat Titans,12,104,0,35,0,201
Sunrisers Hyderabad,Kolkata Knight Riders,13,100,3,36,1,137
Royal Challengers Bangalore,Sunrisers Hyderabad,13,123,1,45,1,187
Chennai Super Kings,Sunrisers Hyderabad,10,75,0,60,0,157
Sunrisers Hyderabad,Delhi Capitals,11,111,0,55,0,199
Chennai Super Kings,Delhi Capitals,19,162,1,13,0,167
Kolkata Knight Riders,Punjab Kings,6,34,0,68,0,140
Lucknow Super Giants,Gujarat Titans,6,65,1,68,0,148
Chennai Super Kings,Kolkata Knight Riders,8,43,2,51,0,137
Royal Challengers Bangalore,Rajasthan Royals,13,125,2,61,1,190
Delhi Capitals,Rajasthan Royals,6,39,1,36,0,158
Sunrisers Hyderabad,Delhi Capitals,6,48,1,45,0,165
Chennai Super Kings,Rajasthan Royals,6,58,0,50,0,224
Lucknow Super Giants,Royal Challengers Bangalore,10,87,1,57,1,179
Lucknow Super Giants,Gujarat Titans,10,63,0,59,0,133
Mumbai Indians,Gujarat Titans,13,129,1,74,1,195
Gujarat Titans,Royal Challengers Bangalore,5,51,1,60,0,192
Delhi Capitals,Mumbai Indians,5,43,0,27,0,132
Sunrisers Hyderabad,Chennai Super Kings,15,106,1,67,0,159
Rajasthan Royals,Kolkata Knight Riders,9,59,2,32,2,101
Kolkata Knight Riders,Mumbai Indians,18,123,0,20,0,136
Lucknow Super Giants,Sunrisers Hyderabad,11,119,0,47,0,208
Mumbai Indians,Royal Challengers Bangalore,13,90,2,51,0,124
Punjab Kings,Delhi Capitals,5,29,0,52,0,113
Chennai Super Kings,Lucknow Super Giants,9,86,1,30,1,177
Gujarat Titans,Delhi Capitals,8,75,2,38,2,204
Gujarat Titans,Kolkata Knight Riders,10,77,1,67,1,164
Kolkata Knight Riders,Chennai Super Kings,9,78,0,66,0,202
Delhi Capitals,Royal Challengers Bangalore,5,31,0,32,0,131
Punjab Kings,Chennai Super Kings,19,141,1,41,1,146
Chennai Super Kings,Royal Challengers Bangalore,17,141,3,30,0,164
Kolkata Knight Riders,Lucknow Super Giants,17,101,2,66,1,116
Rajasthan Royals,Sunrisers Hyderabad,17,170,3,60,1,202
Sunrisers Hyderabad,Rajasthan Royals,5,35,1,52,1,195
Mumbai Indians,Sunrisers Hyderabad,10,88,2,39,1,162
Mumbai Indians,Lucknow Super Giants,17,142,1,36,1,182
Chennai Super Kings,Lucknow Super Giants,19,181,1,58,1,195
Rajasthan Royals,Sunrisers Hyderabad,10,88,1,60,0,177
Punjab Kings,Kolkata Knight Riders,19,140,2,69,0,145
Kolkata Knight Riders,Gujarat Titans,10,92,1,40,0,172
Lucknow Super Giants,Chennai Super Kings,7,38,0,67,0,118
Mumbai Indians,Sunrisers Hyderabad,17,86,1,67,1,108
Lucknow Super Giants,Mumbai Indians,14,121,0,38,0,160
Kolkata Knight Riders,Chennai Super Kings,13,107,2,46,1,177
Lucknow Super Giants,Delhi Capitals,15,94,2,59,1,128
Kolkata Knight Riders,Chennai Super Kings,17,113,3,28,2,127
Chennai Super Kings,Punjab Kings,15,114,0,51,0,146
Punjab Kings,Delhi Capitals,6,51,2,47,0,202
Delhi Capitals,Lucknow Super Giants,7,62,0,15,0,177
Sunrisers Hyderabad,Royal Challengers Bangalore,6,49,0,34,0,215
Sunrisers Hyderabad,Chennai Super Kings,19,106,3,43,1,111
Lucknow Super Giants,Sunrisers Hyderabad,18,135,3,50,0,155
Chennai Super Kings,Sunrisers Hyderabad,12,87,2,32,0,153
Sunrisers Hyderabad,Rajasthan Royals,7,49,1,61,1,124
Rajasthan Royals,Punjab Kings,7,56,0,25,0,174
Delhi Capitals,Gujarat Titans,19,144,1,49,0,156
Sunrisers Hyderabad,Royal Challengers Bangalore,6,35,0,30,0,122
Chennai Super Kings,Punjab Kings,15,136,0,40,0,179
Rajasthan Royals,Delhi Capitals,17,123,2,45,0,154
Kolkata Knight Riders,Gujarat Titans,15,122,1,72,0,162
Lucknow Super Giants,Kolkata Knight Riders,5,41,0,64,0,180
Kolkata Knight Riders,Sunrisers Hyderabad,16,110,2,31,0,133
Sunrisers Hyderabad,Rajasthan Royals,18,146,0,38,0,151
Chennai Super Kings,Royal Challengers Bangalore,18,115,2,67,2,125
Lucknow Super Giants,Royal Challengers Bangalore,16,104,2,59,2,134
Mumbai Indians,Sunrisers Hyderabad,19,129,5,49,0,139
Lucknow Super Giants,Gujarat Titans,18,109,0,42,0,132
Chennai Super Kings,Punjab Kings,10,58,0,62,0,125
Mumbai Indians,Sunrisers Hyderabad,17,174,1,54,1,199
Mumbai Indians,Sunrisers Hyderabad,12,103,0,62,0,170
Punjab Kings,Chennai Super Kings,19,157,2,22,1,162
Mumbai Indians,Punjab Kings,18,174,1,53,1,203
Punjab Kings,Sunrisers Hyderabad,10,76,1,39,1,155
Lucknow Super Giants,Gujarat Titans,9,70,0,59,0,153
Rajasthan Royals,Gujarat Titans,11,90,0,63,0,166
Sunrisers Hyderabad,Lucknow Super Giants,11,80,0,27,0,166
Gujarat Titans,Royal Challengers Bangalore,13,70,2,21,1,121
Gujarat Titans,Lucknow Super Giants,10,67,2,29,0,145
Kolkata Knight Riders,Sunrisers Hyderabad,7,39,0,58,0,105
Rajasthan Royals,Chennai Super Kings,7,47,1,25,0,140
Mumbai Indians,Sunrisers Hyderabad,19,116,2,59,0,121
Punjab Kings,Sunrisers Hyderabad,15,104,2,48,0,133
Delhi Capitals,Sunrisers Hyderabad,9,67,1,63,0,143
Sunrisers Hyderabad,Gujarat Titans,13,112,2,62,2,143
Sunrisers Hyderabad,Lucknow Super Giants,14,105,0,17,0,162
Punjab Kings,Kolkata Knight Riders,8,61,0,50,0,148
Rajasthan Royals,Delhi Capitals,9,58,1,23,0,126
Sunrisers Hyderabad,Chennai Super Kings,18,133,2,72,1,139
Lucknow Super Giants,Kolkata Knight Riders,16,164,2,46,0,205
Royal Challengers Bangalore,Punjab Kings,10,67,1,30,0,136
Delhi Capitals,Gujarat Titans,17,152,2,23,1,164
Lucknow Super Giants,Mumbai Indians,9,79,1,49,0,183
Lucknow Super Giants,Mumbai Indians,7,57,0,30,0,140
Delhi Capitals,Chennai Super Kings,19,151,0,56,0,160
Kolkata Knight Riders,Chennai Super Kings,15,138,1,20,0,184
Chennai Super Kings,Kolkata Knight Riders,9,79,0,44,0,186
Gujarat Titans,Chennai Super Kings,9,69,0,68,0,185
Kolkata Knight Riders,Gujarat Titans,11,86,0,28,0,168
Delhi Capitals,Rajasthan Royals,13,99,1,52,0,146
Punjab Kings,Chennai Super Kings,18,122,3,66,0,134
Royal Challengers Bangalore,Chennai Super Kings,10,59,3,41,2,128
Mumbai Indians,Delhi Capitals,19,134,2,44,0,150
Mumbai Indians,Punjab Kings,8,58,0,58,0,187
Punjab Kings,Sunrisers Hyderabad,14,109,0,44,0,152
Lucknow Super Giants,Punjab Kings,7,42,0,37,0,125
Delhi Capitals,Kolkata Knight Riders,19,124,1,25,1,129
Kolkata Knight Riders,Rajasthan Royals,12,121,0,58,0,219
Chennai Super Kings,Delhi Capitals,16,107,0,38,0,132
Punjab Kings,Mumbai Indians,15,138,0,33,0,205
Punjab Kings,Mumbai Indians,8,57,1,37,1,137
Gujarat Titans,Mumbai Indians,9,69,0,38,0,130
Mumbai Indians,Delhi Capitals,11,85,0,46,0,153
Delhi Capitals,Kolkata Knight Riders,17,161,0,67,0,185
Mumbai Indians,Delhi Capitals,19,122,0,53,0,128
Delhi Capitals,Mumbai Indians,18,135,2,63,0,140
Mumbai Indians,Chennai Super Kings,18,105,0,63,0,118
Punjab Kings,Delhi Capitals,9,60,2,41,1,149
Royal Challengers Bangalore,Punjab Kings,13,94,4,39,0,155
Sunrisers Hyderabad,Royal Challengers Bangalore,19,144,1,56,1,158
Kolkata Knight Riders,Lucknow Super Giants,11,107,0,47,0,192
Kolkata Knight Riders,Sunrisers Hyderabad,14,108,1,66,1,159
Kolkata Knight Riders,Chennai Super Kings,11,94,1,60,1,165
Punjab Kings,Mumbai Indians,9,60,1,57,0,127
Sunrisers Hyderabad,Kolkata Knight Riders,9,77,1,53,0,174
Delhi Capitals,Punjab Kings,8,63,0,29,0,125
Gujarat Titans,Chennai Super Kings,9,64,0,66,0,129
Royal Challengers Bangalore,Mumbai Indians,11,86,2,41,2,125
Punjab Kings,Mumbai Indians,18,136,2,62,0,175
Punjab Kings,Delhi Capitals,15,150,3,65,0,194
Punjab Kings,Delhi Capitals,17,151,1,33,0,177
Royal Challengers Bangalore,Punjab Kings,13,75,1,50,0,115
Sunrisers Hyderabad,Kolkata Knight Riders,18,191,0,38,0,207
Lucknow Super Giants,Rajasthan Royals,12,104,0,42,0,195
Mumbai Indians,Kolkata Knight Riders,13,112,2,28,2,153
Gujarat Titans,Lucknow Super Giants,15,126,1,32,0,183
Chennai Super Kings,Mumbai Indians,17,155,0,62,0,182
Gujarat Titans,Punjab Kings,12,69,3,45,1,122
Punjab Kings,Rajasthan Royals,10,81,0,64,0,181
Punjab Kings,Delhi Capitals,13,81,0,31,0,131
Sunrisers Hyderabad,Royal Challengers Bangalore,10,86,1,34,0,161
Royal Challengers Bangalore,Lucknow Super Giants,12,86,0,74,0,142
Mumbai Indians,Chennai Super Kings,19,129,0,44,0,143
Gujarat Titans,Royal Challengers Bangalore,7,74,1,53,0,192
Delhi Capitals,Punjab Kings,5,35,0,31,0,151
Lucknow Super Giants,Mumbai Indians,5,31,0,39,0,138
Royal Challengers Bangalore,Rajasthan Royals,14,138,0,64,0,222
Punjab Kings,Royal Challengers Bangalore,9,76,2,66,1,160
Royal Challengers Bangalore,Kolkata Knight Riders,13,108,2,72,0,166
Gujarat Titans,Rajasthan Royals,13,86,3,26,1,129
Kolkata Knight Riders,Royal Challengers Bangalore,18,108,2,38,0,137
Kolkata Knight Riders,Royal Challengers Bangalore,13,125,1,48,1,183
Rajasthan Royals,Gujarat Titans,14,116,0,26,0,159
Gujarat Titans,Lucknow Super Giants,8,97,0,37,0,253
Lucknow Super Giants,Royal Challengers Bangalore,18,124,1,27,1,129
Royal Challengers Bangalore,Chennai Super Kings,6,54,0,55,0,176
Mumbai Indians,Rajasthan Royals,13,104,0,49,0,154
Chennai Super Kings,Rajasthan Royals,7,75,2,53,1,190
Chennai Super Kings,Lucknow Super Giants,5,39,0,34,0,159
Rajasthan Royals,Kolkata Knight Riders,10,75,1,37,0,167
Rajasthan Royals,Gujarat Titans,12,99,1,44,1,154
Rajasthan Royals,Punjab Kings,5,26,1,65,0,144
Mumbai Indians,Lucknow Super Giants,10,69,0,62,0,119
Royal Challengers Bangalore,Punjab Kings,6,41,0,48,0,152
Punjab Kings,Delhi Capitals,6,46,0,65,0,140
Punjab Kings,Delhi Capitals,18,173,3,55,0,183
Delhi Capitals,Sunrisers Hyderabad,6,47,0,66,0,140
Delhi Capitals,Chennai Super Kings,7,61,0,70,0,170
Lucknow Super Giants,Chennai Super Kings,7,67,0,40,0,189
Chennai Super Kings,Gujarat Titans,15,125,0,43,0,164
Kolkata Knight Riders,Mumbai Indians,10,77,2,56,0,148
Rajasthan Royals,Gujarat Titans,7,61,1,33,0,157
Chennai Super Kings,Punjab Kings,19,189,2,33,2,210
Mumbai Indians,Chennai Super Kings,6,55,0,50,0,181
Sunrisers Hyderabad,Gujarat Titans,18,165,0,62,0,170
Lucknow Super Giants,Chennai Super Kings,6,21,1,36,0,106
Kolkata Knight Riders,Sunrisers Hyderabad,6,44,2,59,1,140
Punjab Kings,Sunrisers Hyderabad,17,110,0,58,0,115
Kolkata Knight Riders,Rajasthan Royals,9,84,1,34,0,196
Mumbai Indians,Royal Challengers Bangalore,12,120,0,73,0,197
Punjab Kings,Delhi Capitals,6,43,0,52,0,163
Mumbai Indians,Chennai Super Kings,19,195,1,53,1,200
Lucknow Super Giants,Delhi Capitals,6,49,0,39,0,181
Delhi Capitals,Kolkata Knight Riders,15,122,3,49,0,167
Mumbai Indians,Rajasthan Royals,9,50,2,35,0,119
Kolkata Knight Riders,Rajasthan Royals,6,61,1,45,0,226
Lucknow Super Giants,Rajasthan Royals,19,166,0,47,0,173
Sunrisers Hyderabad,Delhi Capitals,6,30,0,41,0,104
Mumbai Indians,Punjab Kings,16,112,4,42,0,128
Royal Challengers Bangalore,Kolkata Knight Riders,18,115,1,32,1,120
Delhi Capitals,Rajasthan Royals,7,45,1,52,1,131
Lucknow Super Giants,Sunrisers Hyderabad,13,103,1,63,1,183
Sunrisers Hyderabad,Gujarat Titans,15,154,2,38,0,216
Chennai Super Kings,Punjab Kings,14,104,0,51,0,137
Lucknow Super Giants,Kolkata Knight Riders,17,150,1,38,0,155
Rajasthan Royals,Kolkata Knight Riders,10,100,1,29,1,185
Gujarat Titans,Mumbai Indians,19,192,2,54,1,200
Sunrisers Hyderabad,Rajasthan Royals,19,158,0,56,0,174
Sunrisers Hyderabad,Punjab Kings,16,97,0,67,0,102
Rajasthan Royals,Gujarat Titans,14,113,3,67,0,155
Punjab Kings,Delhi Capitals,16,98,2,69,1,106
Chennai Super Kings,Mumbai Indians,7,63,1,28,0,182
Lucknow Super Giants,Punjab Kings,14,93,2,35,1,125
Lucknow Super Giants,Kolkata Knight Riders,16,130,1,62,0,172
Mumbai Indians,Gujarat Titans,16,120,1,36,0,141
Kolkata Knight Riders,Punjab Kings,15,113,1,65,0,147
Chennai Super Kings,Mumbai Indians,14,113,0,19,0,170
Kolkata Knight Riders,Chennai Super Kings,14,126,1,60,1,160
Punjab Kings,Rajasthan Royals,6,51,1,69,0,183
Chennai Super Kings,Delhi Capitals,18,132,2,43,0,146
Delhi Capitals,Rajasthan Royals,9,63,0,71,0,134
Punjab Kings,Mumbai Indians,11,71,0,59,0,133
Rajasthan Royals,Punjab Kings,17,138,0,61,0,179
Mumbai Indians,Gujarat Titans,13,87,1,28,0,154
Royal Challengers Bangalore,Chennai Super Kings,16,100,1,42,0,105
Sunrisers Hyderabad,Royal Challengers Bangalore,6,23,1,71,0,149
Rajasthan Royals,Royal Challengers Bangalore,9,87,1,25,1,192
Sunrisers Hyderabad,Mumbai Indians,10,93,0,63,0,189
Lucknow Super Giants,Chennai Super Kings,16,112,2,26,0,141
Royal Challengers Bangalore,Sunrisers Hyderabad,8,83,1,33,1,207
Lucknow Super Giants,Mumbai Indians,9,58,2,51,1,140
Chennai Super Kings,Delhi Capitals,8,66,0,68,0,177
Lucknow Super Giants,Punjab Kings,9,55,1,61,0,151
Gujarat Titans,Chennai Super Kings,17,133,0,40,0,161
Punjab Kings,Chennai Super Kings,10,86,1,37,1,165
Chennai Super Kings,Rajasthan Royals,12,101,1,53,1,143
Punjab Kings,Royal Challengers Bangalore,13,104,3,44,0,174
Rajasthan Royals,Punjab Kings,5,39,0,46,0,192
Rajasthan Royals,Gujarat Titans,15,112,1,24,1,162
Chennai Super Kings,Royal Challengers Bangalore,19,141,4,30,0,146
Gujarat Titans,Royal Challengers Bangalore,5,43,1,53,1,152
Punjab Kings,Gujarat Titans,8,72,1,54,1,165
Delhi Capitals,Punjab Kings,14,105,1,62,0,159
Mumbai Indians,Chennai Super Kings,14,84,3,33,2,120
Royal Challengers Bangalore,Mumbai Indians,17,163,1,33,1,188
Punjab Kings,Chennai Super Kings,19,171,4,53,1,183
Rajasthan Royals,Gujarat Titans,14,123,0,49,0,168
Lucknow Super Giants,Kolkata Knight Riders,16,121,0,61,0,150
Kolkata Knight Riders,Punjab Kings,12,92,2,47,0,163
Kolkata Knight Riders,Rajasthan Royals,13,97,1,59,0,164
Chennai Super Kings,Royal Challengers Bangalore,9,64,1,28,0,148
Chennai Super Kings,Sunrisers Hyderabad,11,69,0,50,0,137
Kolkata Knight Riders,Gujarat Titans,5,30,1,45,1,135
Lucknow Super Giants,Sunrisers Hyderabad,9,78,0,22,0,198
Sunrisers Hyderabad,Mumbai Indians,5,40,0,58,0,171
Sunrisers Hyderabad,Royal Challengers Bangalore,11,74,2,60,0,129
Mumbai Indians,Gujarat Titans,18,145,1,55,1,165
Lucknow Super Giants,Mumbai Indians,13,92,0,60,0,129
Lucknow Super Giants,Kolkata Knight Riders,14,123,3,39,0,178
Sunrisers Hyderabad,Kolkata Knight Riders,5,52,0,62,0,198
Chennai Super Kings,Gujarat Titans,6,51,0,47,0,167
Punjab Kings,Rajasthan Royals,8,72,1,37,0,168
Punjab Kings,Rajasthan Royals,8,83,1,54,1,207
Chennai Super Kings,Sunrisers Hyderabad,12,95,2,27,0,170
Punjab Kings,Kolkata Knight Riders,11,99,2,29,2,158
Punjab Kings,Gujarat Titans,13,87,0,66,0,136
Mumbai Indians,Chennai Super Kings,5,49,0,59,0,166
Royal Challengers Bangalore,Lucknow Super Giants,10,63,0,59,0,131
Rajasthan Royals,Sunrisers Hyderabad,6,57,0,63,0,186
Punjab Kings,Delhi Capitals,19,160,2,25,0,165
Rajasthan Royals,Lucknow Super Giants,9,67,1,26,1,121
Delhi Capitals,Gujarat Titans,12,118,1,68,1,204
Royal Challengers Bangalore,Sunrisers Hyderabad,16,160,0,25,0,198
Delhi Capitals,Lucknow Super Giants,12,58,0,60,0,91
Mumbai Indians,Punjab Kings,8,84,1,58,0,204
Rajasthan Royals,Chennai Super Kings,18,169,1,54,1,201
Chennai Super Kings,Rajasthan Royals,14,80,1,13,1,123
Lucknow Super Giants,Kolkata Knight Riders,9,61,0,43,0,174
Mumbai Indians,Royal Challengers Bangalore,11,123,0,35,0,184
Delhi Capitals,Royal Challengers Bangalore,7,71,0,50,0,200
Kolkata Knight Riders,Chennai Super Kings,14,114,3,39,0,157
Punjab Kings,Lucknow Super Giants,14,106,1,71,0,143
Gujarat Titans,Delhi Capitals,13,76,2,59,0,125
Punjab Kings,Chennai Super Kings,13,109,1,46,1,169
Sunrisers Hyderabad,Rajasthan Royals,12,87,1,50,1,126
Mumbai Indians,Delhi Capitals,7,66,1,60,0,190
Punjab Kings,Kolkata Knight Riders,5,34,0,20,0,135
Punjab Kings,Rajasthan Royals,13,119,1,42,0,194
Lucknow Super Giants,Punjab Kings,16,129,0,56,0,155
Sunrisers Hyderabad,Delhi Capitals,12,78,0,48,0,130
Kolkata Knight Riders,Sunrisers Hyderabad,17,139,0,68,0,153
Punjab Kings,Lucknow Super Giants,11,76,2,67,0,145
Gujarat Titans,Delhi Capitals,7,71,0,29,0,237
Sunrisers Hyderabad,Gujarat Titans,11,66,3,38,1,123
Gujarat Titans,Sunrisers Hyderabad,5,41,0,49,0,183
Royal Challengers Bangalore,Sunrisers Hyderabad,17,162,0,54,0,213
Rajasthan Royals,Gujarat Titans,6,44,0,33,0,163
Sunrisers Hyderabad,Kolkata Knight Riders,10,90,1,59,1,174
Lucknow Super Giants,Rajasthan Royals,10,89,2,55,0,147
Gujarat Titans,Kolkata Knight Riders,11,74,0,50,0,128
Royal Challengers Bangalore,Chennai Super Kings,14,97,2,36,1,125
Mumbai Indians,Lucknow Super Giants,15,140,2,36,0,154
Lucknow Super Giants,Punjab Kings,14,117,2,21,0,199
Gujarat Titans,Royal Challengers Bangalore,11,86,0,70,0,150
Mumbai Indians,Rajasthan Royals,13,88,4,53,1,163
Punjab Kings,Mumbai Indians,7,58,1,47,0,169
Rajasthan Royals,Delhi Capitals,17,127,0,52,0,145
Delhi Capitals,Lucknow Super Giants,15,118,1,32,0,186
Mumbai Indians,Kolkata Knight Riders,14,86,1,66,1,113
Lucknow Super Giants,Punjab Kings,11,86,1,45,0,156
Chennai Super Kings,Lucknow Super Giants,8,65,1,73,0,185
Chennai Super Kings,Kolkata Knight Riders,7,61,0,31,0,224
Royal Challengers Bangalore,Gujarat Titans,6,52,1,58,1,153
Rajasthan Royals,Punjab Kings,7,62,1,59,1,177
Delhi Capitals,Mumbai Indians,18,171,0,42,0,183
Gujarat Titans,Mumbai Indians,14,127,1,76,1,164
Chennai Super Kings,Delhi Capitals,13,119,0,17,0,207
Royal Challengers Bangalore,Chennai Super Kings,18,101,0,56,0,125
Rajasthan Royals,Chennai Super Kings,16,134,2,47,1,161
Sunrisers Hyderabad,Punjab Kings,10,90,0,61,0,177
Rajasthan Royals,Punjab Kings,7,52,1,48,0,148
Gujarat Titans,Rajasthan Royals,5,32,1,61,1,137
Punjab Kings,Delhi Capitals,5,43,1,52,0,166
Punjab Kings,Kolkata Knight Riders,18,158,2,71,0,173
Delhi Capitals,Rajasthan Royals,16,162,0,34,0,198
Chennai Super Kings,Sunrisers Hyderabad,10,52,1,76,1,95
Rajasthan Royals,Gujarat Titans,18,150,1,52,1,182
Sunrisers Hyderabad,Kolkata Knight Riders,13,137,0,32,0,222
Kolkata Knight Riders,Punjab Kings,12,72,1,63,1,123
Sunrisers Hyderabad,Mumbai Indians,19,171,0,44,0,195
Lucknow Super Giants,Rajasthan Royals,15,136,1,59,1,188
Gujarat Titans,Rajasthan Royals,5,40,0,68,0,143
Punjab Kings,Lucknow Super Giants,10,84,2,32,1,148
Mumbai Indians,Kolkata Knight Riders,6,57,0,43,0,160
Delhi Capitals,Lucknow Super Giants,14,141,1,36,0,192
Royal Challengers Bangalore,Mumbai Indians,8,63,1,56,1,140
Punjab Kings,Chennai Super Kings,14,99,0,46,0,139
Delhi Capitals,Lucknow Super Giants,19,156,1,61,1,169
Rajasthan Royals,Kolkata Knight Riders,12,84,0,50,0,134
Royal Challengers Bangalore,Delhi Capitals,12,89,1,60,0,139
Chennai Super Kings,Kolkata Knight Riders,6,34,0,74,0,151
Sunrisers Hyderabad,Royal Challengers Bangalore,16,137,4,26,2,161
Chennai Super Kings,Punjab Kings,11,87,1,40,1,160
Punjab Kings,Sunrisers Hyderabad,6,39,1,39,0,169
Punjab Kings,Royal Challengers Bangalore,8,65,0,59,0,201
Sunrisers Hyderabad,Kolkata Knight Riders,6,33,1,59,1,169
Royal Challengers Bangalore,Kolkata Knight Riders,14,111,3,52,1,183
Delhi Capitals,Kolkata Knight Riders,8,58,0,29,0,159
Chennai Super Kings,Delhi Capitals,16,101,2,67,0,108
Delhi Capitals,Royal Challengers Bangalore,17,132,0,63,0,151
Kolkata Knight Riders,Chennai Super Kings,13,98,3,43,0,143
Royal Challengers Bangalore,Kolkata Knight Riders,7,63,0,32,0,160
Mumbai Indians,Royal Challengers Bangalore,13,109,2,58,0,142
Rajasthan Royals,Gujarat Titans,6,53,2,54,0,166
Mumbai Indians,Chennai Super Kings,8,71,2,37,1,187
Delhi Capitals,Royal Challengers Bangalore,9,88,1,34,0,187
Rajasthan Royals,Mumbai Indians,13,76,1,35,1,113
Lucknow Super Giants,Chennai Super Kings,16,139,0,31,0,180
Sunrisers Hyderabad,Punjab Kings,9,88,2,44,0,194
Royal Challengers Bangalore,Rajasthan Royals,10,107,1,41,1,213
Rajasthan Royals,Chennai Super Kings,13,82,1,39,1,132
Lucknow Super Giants,Punjab Kings,9,70,1,52,1,152
Gujarat Titans,Delhi Capitals,18,162,2,37,0,167
Punjab Kings,Lucknow Super Giants,17,98,1,36,1,103
Punjab Kings,Kolkata Knight Riders,12,117,0,32,0,173
Royal Challengers Bangalore,Chennai Super Kings,10,84,1,54,1,154
Mumbai Indians,Lucknow Super Giants,17,133,0,32,0,155
Gujarat Titans,Rajasthan Royals,17,154,1,40,0,200
Rajasthan Royals,Punjab Kings,19,134,2,33,1,139
Lucknow Super Giants,Mumbai Indians,12,87,1,34,0,156
Lucknow Super Giants,Delhi Capitals,6,35,0,21,0,140
Mumbai Indians,Rajasthan Royals,11,113,2,63,0,211
Kolkata Knight Riders,Royal Challengers Bangalore,15,124,4,48,1,164
Lucknow Super Giants,Sunrisers Hyderabad,5,40,0,60,0,159
Kolkata Knight Riders,Royal Challengers Bangalore,8,71,1,42,0,186
Chennai Super Kings,Kolkata Knight Riders,13,86,2,39,1,147
Chennai Super Kings,Sunrisers Hyderabad,5,40,0,61,0,164
Delhi Capitals,Mumbai Indians,16,109,0,34,0,137
Rajasthan Royals,Chennai Super Kings,19,186,6,60,0,191
Royal Challengers Bangalore,Delhi Capitals,11,85,1,74,0,156
Royal Challengers Bangalore,Mumbai Indians,9,76,0,48,0,161
Punjab Kings,Chennai Super Kings,14,118,1,46,1,156
Punjab Kings,Delhi Capitals,11,69,2,66,0,145
Delhi Capitals,Lucknow Super Giants,12,87,2,49,0,149
Sunrisers Hyderabad,Royal Challengers Bangalore,13,93,0,56,0,145
Royal Challengers Bangalore,Sunrisers Hyderabad,7,53,0,54,0,192
Chennai Super Kings,Sunrisers Hyderabad,13,98,0,51,0,171
Sunrisers Hyderabad,Punjab Kings,14,136,5,69,2,213
Royal Challengers Bangalore,Sunrisers Hyderabad,9,48,0,41,0,159
Punjab Kings,Kolkata Knight Riders,16,153,4,65,0,194
Lucknow Super Giants,Sunrisers Hyderabad,5,35,0,40,0,151
Mumbai Indians,Delhi Capitals,12,114,1,59,1,190
Punjab Kings,Kolkata Knight Riders,18,146,1,41,1,151
Punjab Kings,Kolkata Knight Riders,10,75,0,44,0,151
Sunrisers Hyderabad,Kolkata Knight Riders,14,134,2,63,2,196
Kolkata Knight Riders,Sunrisers Hyderabad,5,35,0,34,0,160
Gujarat Titans,Mumbai Indians,5,20,0,69,0,107
Chennai Super Kings,Lucknow Super Giants,19,152,2,40,1,157
Chennai Super Kings,Punjab Kings,13,110,1,26,1,171
Delhi Capitals,Rajasthan Royals,10,75,1,53,1,152
Mumbai Indians,Delhi Capitals,5,25,0,44,0,108
Delhi Capitals,Chennai Super Kings,17,121,2,61,1,137
Sunrisers Hyderabad,Delhi Capitals,16,107,1,27,1,147
